기업명,CSR Hub ID,기부금 순위,제안 우선도,회사 간단 소개,업종,법인유형,소재지,직원수(2025),"매출액(2025, 억원)",2022 기부금(백만원),2023 기부금(백만원),2024 기부금(백만원),2025 기부금(백만원),"2026 기부금(백만원, 7/1 기준)",22~25 연평균(백만원),"22~26 단순평균(백만원, 26 부분)",기준 충족 연도 수(22~25),주요 사업 분야,주요 공개사업(최대 3개),공개 주요사업 수,교육 연관사업 수,교육사업 비중,KMA 연관 분야,주요 교육사업(최대 3개),KMA와의 접점,사업정보 참고,홈페이지,지속가능보고서,CSR Hub 상세 URL,연락처 및 접근 경로
대한항공,20,38,A,"항공 여객 운송업 기업, 유가증권시장, 서울특별시 강서구 소재, 2025년 매출 약 25.2조원, 직원 18,318명.",항공 여객 운송업,유가증권시장,서울특별시 강서구 하늘길 260,"18,318","252,255.40","1,500.00","1,900.00","1,500.00","1,330.00",0,"1,557.50","1,246.00",4,주거안전지원(9) / 기초생계지원(5) / 문화정보격차해소(3),"사랑의일기 큰잔치 세계대회 / 이른둥이 발달지원 사업 / 모두가 포함된 지역공동체 만들기 프로젝트 “우리 동네 이야기, 무대에서 만나다”",24,4,16.70%,교육격차·취약계층 / 청소년·청년 교육,사랑의일기 큰잔치 세계대회 / 이른둥이 발달지원 사업 / 이용자의 안전성 강화를 위한 외벽 방수 기능보강사업,"청소년 학습·진로 프로그램 기획, 학교·지역기관 연계, 참여자 운영 / 교육취약계층 맞춤형 학습지원, 모집·운영 통합관리, 지역 확산",개별 귀속 여부는 원문 기준,http://www.koreanair.com/,https://www.koreanair.com/contents/footer/about-us/sustainable-management/report,https://csrhub.chest.or.kr/contributors/private/20,2차 선별 외—심층 연락처 우선조사 미실시 | 기본: http://www.koreanair.com/ | 접근: 공식 대표·문의 페이지에서 ESG·사회공헌·대외협력 담당 연결 요청
케이비증권,202,39,A,"증권 중개업 기업, 기타법인, 서울특별시 영등포구 소재, 2025년 매출 약 14.1조원, 직원 2,970명.",증권 중개업,기타법인,"서울특별시 영등포구 여의나루로 50 (여의도동, 한국교직원공제회관)","2,970","141,482.30","1,332.70",939.8,"2,063.90","1,845.70",0,"1,545.50","1,236.40",4,기초생계지원(3) / 주거안전지원(3) / 문화정보격차해소(1),미래세대 육성을 위한 취약 교육시설 개선 사업 및 기후변화 대응을 위한 맹그로브숲 조성사업 / 아동에게 안전하고 친환경적인 생활환경 조성을 위한 아동 참여 중심의 환경개선사업 / 서울시 저소득 취약계층아동가정의 가족여가증진 지원사업,7,1,14.30%,교육격차·취약계층 / 청소년·청년 교육 / 환경·안전·문화 교육,미래세대 육성을 위한 취약 교육시설 개선 사업 및 기후변화 대응을 위한 맹그로브숲 조성사업,"청소년 학습·진로 프로그램 기획, 학교·지역기관 연계, 참여자 운영 / 교육취약계층 맞춤형 학습지원, 모집·운영 통합관리, 지역 확산 / 주제형 교육 콘텐츠 개발, 강사·체험 운영, 성과측정",개별 귀속 여부는 원문 기준,http://www.kbsec.com/,https://www.kbsec.com/go.able?linkcd=s500233010000,https://csrhub.chest.or.kr/contributors/private/202,2차 선별 외—심층 연락처 우선조사 미실시 | 기본: http://www.kbsec.com/ | 접근: 공식 대표·문의 페이지에서 ESG·사회공헌·대외협력 담당 연결 요청
LG에너지솔루션,26,40,A,"축전지 제조업 기업, 유가증권시장, 서울특별시 영등포구 소재, 2025년 매출 약 23.7조원, 직원 12,922명.",축전지 제조업,유가증권시장,"서울특별시 영등포구 여의대로 108, 타워 1","12,922","236,717.60",222.6,"2,634.60","3,106.70",7.5,0,"1,492.90","1,194.30",3,교육자립지원(1),자립준비청년의 자립 환경 격차 해소를 위한 자립지원사업 - 첫 출발 솔루션 : Empowering Life,1,1,100.00%,교육격차·취약계층 / 진로·취업·자립 / 청소년·청년 교육 / 환경·안전·문화 교육,자립준비청년의 자립 환경 격차 해소를 위한 자립지원사업 - 첫 출발 솔루션 : Empowering Life,"청년·경력전환자 직무교육·취업지원, 멘토링, 성과관리 / 청소년 학습·진로 프로그램 기획, 학교·지역기관 연계, 참여자 운영 / 교육취약계층 맞춤형 학습지원, 모집·운영 통합관리, 지역 확산",개별 귀속 여부는 원문 기준,http://www.lgensol.com/,https://www.lgensol.com/kr/esg-sustainability,https://csrhub.chest.or.kr/contributors/private/26,우선: LG재단 1:1 문의(첨부 가능) https://foundation.lg.or.kr/contact-us/ | 접근: LG복지재단·LG연암문화재단 중 사업 성격에 맞게 선택; 계열사 단독사업은 해당사 ESG 담당 연결 요청 | 기업 홈페이지: http://www.lgensol.com/
에이치디현대오일뱅크,158,41,A,"원유 정제처리업 기업, 기타법인, 충청남도 서산시 소재, 2025년 매출 약 28.0조원, 직원 2,145명.",원유 정제처리업,기타법인,충청남도 서산시 대산읍 평신2로 182,"2,145","280,249.20","2,809.20","1,297.10",799.5,894.8,169.9,"1,450.10","1,194.10",4,보건의료지원(2) / 심리정서지원(2) / 주거안전지원(2),"HD현대인프라코어와 월드비전 이 함께하는 아동 꿈. 찾기 프로젝트 ""Dream School"" / 노인여가복지시설 및 대한노인회 난방비 지원사업 / 취약계층 어르신 건강한 여름나기 지원사업",10,1,10.00%,청소년·청년 교육,"HD현대인프라코어와 월드비전 이 함께하는 아동 꿈. 찾기 프로젝트 ""Dream School""","청소년 학습·진로 프로그램 기획, 학교·지역기관 연계, 참여자 운영",개별 귀속 여부는 원문 기준,http://www.hd-hyundaioilbank.co.kr/,https://www.hd-hyundaioilbank.co.kr/business-domain/business/finance-information/index.do?linkTab,https://csrhub.chest.or.kr/contributors/private/158,2차 선별 외—심층 연락처 우선조사 미실시 | 기본: http://www.hd-hyundaioilbank.co.kr/ | 접근: 공식 대표·문의 페이지에서 ESG·사회공헌·대외협력 담당 연결 요청
삼성증권,111,42,A,"증권 중개업 기업, 유가증권시장, 서울특별시 서초구 소재, 직원 2,614명.",증권 중개업,유가증권시장,서울특별시 서초구 서초대로74길 11 (서초동),"2,614",,987,"1,680.00","1,315.00","1,682.70",0,"1,416.20","1,132.90",4,교육자립지원(6) / 심리정서지원(3) / 보건의료지원(2),미취업 청년들의 취업경쟁력을 높이기 위한 '삼성 청년 SW 아카데미'(SSAFY) / 취약계층 건강 증진을 위한 의료비 지원 사업 '희망진료센터' / 명절맞이 취약계층 및 사회복지시설 물품지원 사업,14,8,57.10%,교육격차·취약계층 / 디지털·AI 교육 / 멘토링·학습관리 / 시니어·중장년 교육 / 진로·취업·자립 / 청소년·청년 교육 / 환경·안전·문화 교육,미취업 청년들의 취업경쟁력을 높이기 위한 '삼성 청년 SW 아카데미'(SSAFY) / 시니어 디지털 역량 강화 및 활용을 위한 「삼성 시니어 디지털 아카데미」 / 삼성전자와 함께하는 자립준비청년 취업지원사업 ‘희망디딤돌 2.0’,"AI·디지털 교육과정 설계, 강사 운영, 프로젝트형 학습·성과관리 / 멘토 모집·교육·매칭, 활동 모니터링, 학습·성과관리 / 시니어·중장년 디지털·생애역량 교육과 지역 거점 운영",동일한 공개 사업 목록이 20개 기업에 공통 표시됨(그룹 사업 가능성),http://www.samsungpop.com/,https://www.samsungsecurities.co.kr/kor/business/sustainability.do,https://csrhub.chest.or.kr/contributors/private/111,우선: 삼성 CSR 공식 채널 https://csr.samsung.com/ko/ | 접근: 해당 계열사 대표전화·공식 문의에서 ‘사회공헌/ESG/대외협력 담당’ 연결 요청(공개된 공통 CSR 직통 연락처는 미확인) | 기업 홈페이지: http://www.samsungpop.com/
SK,65,43,A,"지주회사 기업, 유가증권시장, 서울특별시 종로구 소재, 2025년 매출 약 122.7조원, 직원 4,419명.",지주회사,유가증권시장,서울특별시 종로구 종로 26 SK주식회사,"4,419","1,227,033.40","3,000.00","1,100.00",500,987,0,"1,396.70","1,117.40",4,기초생계지원(10) / 문화정보격차해소(7) / 주거안전지원(7),치매노인 및 발달장애인 실종예방을 위한 배회감지기 보급지원 사업 '행복GPS' / 전국 발달장애인 음악활동 지원사업 「GREAT MUSIC FESTIVAL」 / 장애청소년 행복 AI 코딩 챌린지 대회 배분신청서,37,10,27.00%,교육격차·취약계층 / 디지털·AI 교육 / 시니어·중장년 교육 / 진로·취업·자립 / 청소년·청년 교육 / 환경·안전·문화 교육,장애청소년 행복 AI 코딩 챌린지 대회 배분신청서 / 청소년 행복AI코딩스쿨 / 저소득 한부모가정 아동/청소년을 위한 희망나눔 장학금 지원,"AI·디지털 교육과정 설계, 강사 운영, 프로젝트형 학습·성과관리 / 시니어·중장년 디지털·생애역량 교육과 지역 거점 운영 / 청년·경력전환자 직무교육·취업지원, 멘토링, 성과관리",개별 귀속 여부는 원문 기준,http://www.sk-inc.com/,https://sk-inc.com/kr/esg/sustainability.aspx,https://csrhub.chest.or.kr/contributors/private/65,2차 선별 외—심층 연락처 우선조사 미실시 | 기본: http://www.sk-inc.com/ | 접근: 공식 대표·문의 페이지에서 ESG·사회공헌·대외협력 담당 연결 요청
LG카드,216,44,A,"신용카드 및 할부 금융업 기업, 기타법인, 서울특별시 강남구 소재.",신용카드 및 할부 금융업,기타법인,서울특별시 강남구 역삼동 679번지,,,"1,889.60","1,793.40","1,366.20",500,0,"1,387.30","1,109.80",4,교육자립지원(12) / 기초생계지원(5) / 보건의료지원(2),맞벌이가정 자녀 돌봄공백 해소를 위한 공동육아나눔터 공간 조성 지원 ‘신한 꿈도담터’ / 위기가정 재기지원사업(7차년도) / 아동학대 응급(보호)조치 아동 보호 및 가정복귀 지원사업 '신한-SOL Guard(4차)',27,12,44.40%,교육격차·취약계층 / 디지털·AI 교육 / 멘토링·학습관리 / 시니어·중장년 교육 / 진로·취업·자립 / 청소년·청년 교육 / 환경·안전·문화 교육,재생PC를 활용한 경로당 어르신 정보화 및 금융교육 / 해외 사회문제 해결을 위한 '글로벌 원신한' / 학교 밖 청소년의 직업탐색을 위한 뮤지컬 교육 및 공연,"AI·디지털 교육과정 설계, 강사 운영, 프로젝트형 학습·성과관리 / 멘토 모집·교육·매칭, 활동 모니터링, 학습·성과관리 / 시니어·중장년 디지털·생애역량 교육과 지역 거점 운영",동일한 공개 사업 목록이 12개 기업에 공통 표시됨(그룹 사업 가능성),http://www.lgcapital.com/,,https://csrhub.chest.or.kr/contributors/private/216,주의: 현재 독립 접촉 가능한 법인인지 확인 필요. 우선은 신한금융희망재단 shdf@shinhan.com / https://shf.neocoms.co.kr/ 또는 현행 카드사 담당 경로로 재확인 | 기업 홈페이지: http://www.lgcapital.com/
삼성SDI,14,45,A,"축전지 제조업 기업, 유가증권시장, 경기도 용인시 소재, 2025년 매출 약 13.3조원, 직원 12,826명.",축전지 제조업,유가증권시장,경기도 용인시 기흥구 공세로 150-20,"12,826","132,667.30","1,123.40","1,797.40","1,627.40",624,0,"1,293.10","1,034.40",4,교육자립지원(7) / 심리정서지원(3) / 보건의료지원(2),미취업 청년들의 취업경쟁력을 높이기 위한 '삼성 청년 SW 아카데미'(SSAFY) / 취약계층 건강 증진을 위한 의료비 지원 사업 '희망진료센터' / 명절맞이 취약계층 및 사회복지시설 물품지원 사업,15,9,60.00%,교육격차·취약계층 / 디지털·AI 교육 / 멘토링·학습관리 / 시니어·중장년 교육 / 진로·취업·자립 / 청소년·청년 교육 / 환경·안전·문화 교육,미취업 청년들의 취업경쟁력을 높이기 위한 '삼성 청년 SW 아카데미'(SSAFY) / 시니어 디지털 역량 강화 및 활용을 위한 「삼성 시니어 디지털 아카데미」 / 삼성전자와 함께하는 자립준비청년 취업지원사업 ‘희망디딤돌 2.0’,"AI·디지털 교육과정 설계, 강사 운영, 프로젝트형 학습·성과관리 / 멘토 모집·교육·매칭, 활동 모니터링, 학습·성과관리 / 시니어·중장년 디지털·생애역량 교육과 지역 거점 운영",개별 귀속 여부는 원문 기준,http://www.samsungsdi.co.kr/,https://www.samsungsdi.co.kr/esg/report/index.html,https://csrhub.chest.or.kr/contributors/private/14,우선: 삼성 CSR 공식 채널 https://csr.samsung.com/ko/ | 접근: 해당 계열사 대표전화·공식 문의에서 ‘사회공헌/ESG/대외협력 담당’ 연결 요청(공개된 공통 CSR 직통 연락처는 미확인) | 기업 홈페이지: http://www.samsungsdi.co.kr/
케이비국민카드,198,46,A,"신용카드 및 할부 금융업 기업, 기타법인, 서울특별시 종로구 소재.",신용카드 및 할부 금융업,기타법인,서울특별시 종로구 새문안로3길 30,,,908.5,"1,576.70","1,309.60","1,354.80",0.1,"1,287.40","1,029.90",4,사회적돌봄강화(2) / 교육자립지원(1) / 기초생계지원(1),저소득가정 예비초등학생 자존감 향상을 위한 입학준비물품 지원 「책가방 보내기」 / 취약노인 마음잇기 ‘오! 해피데이!’ / 저소득 국가 아동들을 위한 사랑T 만들기,4,1,25.00%,진로·취업·자립 / 청소년·청년 교육 / 환경·안전·문화 교육,초등돌봄교실 학생 금융역량강화를 위한 금융키트지원 및 금융교육: 신나는 신용생활,"청년·경력전환자 직무교육·취업지원, 멘토링, 성과관리 / 청소년 학습·진로 프로그램 기획, 학교·지역기관 연계, 참여자 운영 / 주제형 교육 콘텐츠 개발, 강사·체험 운영, 성과측정",개별 귀속 여부는 원문 기준,http://www.kbcard.com/,https://card.kbcard.com/SVC/DVIEW/HSJMCXCRUZZC0002,https://csrhub.chest.or.kr/contributors/private/198,2차 선별 외—심층 연락처 우선조사 미실시 | 기본: http://www.kbcard.com/ | 접근: 공식 대표·문의 페이지에서 ESG·사회공헌·대외협력 담당 연결 요청
롯데케미칼,22,47,A,"석유화학계 기초 화학 물질 제조업 기업, 유가증권시장, 서울특별시 송파구 소재, 2025년 매출 약 18.5조원, 직원 4,349명.",석유화학계 기초 화학 물질 제조업,유가증권시장,서울특별시 송파구 올림픽로 300 롯데월드타워,"4,349","184,830.10","2,057.10","1,168.70",925.2,791.4,632.6,"1,235.60","1,115.00",4,사회적돌봄강화(9) / 기초생계지원(5) / 심리정서지원(4),아동 놀이 환경 개선을 위한 놀이공간 조성 사업: mom편한 놀이터 / 저소득층 아동의 전인적 성장을 위한 지역아동센터 환경개선 및 역량강화 사업 : 'mom편한꿈다락' / 문화소외계층 군인들의 문화 공간 지원을 위한 병영도서관 '청춘책방',24,6,25.00%,교육격차·취약계층 / 진로·취업·자립 / 청소년·청년 교육 / 환경·안전·문화 교육,"저소득층 아동의 전인적 성장을 위한 지역아동센터 환경개선 및 역량강화 사업 : 'mom편한꿈다락' / 문화소외계층 군인들의 문화 공간 지원을 위한 병영도서관 '청춘책방' / 사회문제 해결을 위한 ESG 기반 대학생 봉사활동 지원사업 ""밸유 for ESG""","청년·경력전환자 직무교육·취업지원, 멘토링, 성과관리 / 청소년 학습·진로 프로그램 기획, 학교·지역기관 연계, 참여자 운영 / 교육취약계층 맞춤형 학습지원, 모집·운영 통합관리, 지역 확산",개별 귀속 여부는 원문 기준,http://www.lottechem.com/,https://www.lottechem.com/ko/esg/management_report.do,https://csrhub.chest.or.kr/contributors/private/22,2차 선별 외—심층 연락처 우선조사 미실시 | 기본: http://www.lottechem.com/ | 접근: 공식 대표·문의 페이지에서 ESG·사회공헌·대외협력 담당 연결 요청
서울보증보험,442,48,D,"보증보험업 기업, 기타법인, 서울특별시 종로구 소재, 직원 1,547명.",보증보험업,기타법인,서울특별시 종로구 김상옥로 29 (연지동),"1,547",,"1,315.00","1,130.00",980,"1,060.00",480,"1,121.30",993,4,공개 주요사업 없음,,0,0,,,,현재 공개 주요사업에서는 직접적인 교육 접점이 확인되지 않음. 신규 교육형 사회공헌사업 제안 가능,개별 귀속 여부는 원문 기준,http://www.sgic.co.kr/,https://www.sgic.co.kr/biz/ccg/index.html?p=CCGESG010101F01,https://csrhub.chest.or.kr/contributors/private/442,2차 선별 외—심층 연락처 우선조사 미실시 | 기본: http://www.sgic.co.kr/ | 접근: 공식 대표·문의 페이지에서 ESG·사회공헌·대외협력 담당 연결 요청
신한라이프생명보험,212,49,A,"생명보험업 기업, 기타법인, 서울특별시 중구 소재, 직원 1,553명.",생명보험업,기타법인,서울특별시 중구 삼일대로 358 신한L타워,"1,553",,"1,467.90","1,047.30","1,376.70",450,0,"1,085.50",868.4,4,교육자립지원(12) / 기초생계지원(5) / 보건의료지원(2),맞벌이가정 자녀 돌봄공백 해소를 위한 공동육아나눔터 공간 조성 지원 ‘신한 꿈도담터’ / 위기가정 재기지원사업(7차년도) / 아동학대 응급(보호)조치 아동 보호 및 가정복귀 지원사업 '신한-SOL Guard(4차)',27,12,44.40%,교육격차·취약계층 / 디지털·AI 교육 / 멘토링·학습관리 / 시니어·중장년 교육 / 진로·취업·자립 / 청소년·청년 교육 / 환경·안전·문화 교육,재생PC를 활용한 경로당 어르신 정보화 및 금융교육 / 해외 사회문제 해결을 위한 '글로벌 원신한' / 학교 밖 청소년의 직업탐색을 위한 뮤지컬 교육 및 공연,"AI·디지털 교육과정 설계, 강사 운영, 프로젝트형 학습·성과관리 / 멘토 모집·교육·매칭, 활동 모니터링, 학습·성과관리 / 시니어·중장년 디지털·생애역량 교육과 지역 거점 운영",동일한 공개 사업 목록이 12개 기업에 공통 표시됨(그룹 사업 가능성),http://www.shinhanlife.co.kr/,https://www.shinhanlife.co.kr/hp/cdhh0160.do,https://csrhub.chest.or.kr/contributors/private/212,우선: 신한금융희망재단(교육·사회문제 해결) 이메일 shdf@shinhan.com / https://shf.neocoms.co.kr/ | 접근: 재단 메일로 제안서 발송 후 해당 계열사 ESG·사회공헌 담당 연결 요청 | 기업 홈페이지: http://www.shinhanlife.co.kr/
삼성전기,44,50,A,"인쇄회로기판 및 전자부품 실장기판 제조업 기업, 유가증권시장, 경기도 수원시 소재, 2025년 매출 약 11.3조원, 직원 24,346명.",인쇄회로기판 및 전자부품 실장기판 제조업,유가증권시장,경기도 수원시 영통구 매영로 150,"24,346","113,144.60","1,317.30","1,412.60",639,824.3,50.2,"1,048.30",848.7,4,교육자립지원(6) / 심리정서지원(3) / 보건의료지원(2),미취업 청년들의 취업경쟁력을 높이기 위한 '삼성 청년 SW 아카데미'(SSAFY) / 취약계층 건강 증진을 위한 의료비 지원 사업 '희망진료센터' / 명절맞이 취약계층 및 사회복지시설 물품지원 사업,14,8,57.10%,교육격차·취약계층 / 디지털·AI 교육 / 멘토링·학습관리 / 시니어·중장년 교육 / 진로·취업·자립 / 청소년·청년 교육 / 환경·안전·문화 교육,미취업 청년들의 취업경쟁력을 높이기 위한 '삼성 청년 SW 아카데미'(SSAFY) / 시니어 디지털 역량 강화 및 활용을 위한 「삼성 시니어 디지털 아카데미」 / 삼성전자와 함께하는 자립준비청년 취업지원사업 ‘희망디딤돌 2.0’,"AI·디지털 교육과정 설계, 강사 운영, 프로젝트형 학습·성과관리 / 멘토 모집·교육·매칭, 활동 모니터링, 학습·성과관리 / 시니어·중장년 디지털·생애역량 교육과 지역 거점 운영",동일한 공개 사업 목록이 20개 기업에 공통 표시됨(그룹 사업 가능성),http://www.sem.samsung.co.kr/,https://www.samsungsem.com/kr/about-us/sustainability/report.do,https://csrhub.chest.or.kr/contributors/private/44,우선: 삼성 CSR 공식 채널 https://csr.samsung.com/ko/ | 접근: 해당 계열사 대표전화·공식 문의에서 ‘사회공헌/ESG/대외협력 담당’ 연결 요청(공개된 공통 CSR 직통 연락처는 미확인) | 기업 홈페이지: http://www.sem.samsung.co.kr/
전북은행,475,51,A,"국내은행 기업, 기타법인, 전북특별자치도 전주시 소재, 직원 1,432명.",국내은행,기타법인,"전북특별자치도 전주시 덕진구 백제대로 566 (금암동, 전북은행빌딩)","1,432",,438.8,731.5,"1,103.40","1,807.10",92.6,"1,020.20",834.7,4,기초생계지원(3) / 주거안전지원(2) / 교육자립지원(1),실종 치매노인 발생 예방을 위한 배회감지기 지원 사업 / 2024 저소득 우수 중고등학생 장학금 지원 'JB희망의 장학금' / 2024년 'JB이웃사랑 선물꾸러미 나눔',7,1,14.30%,교육격차·취약계층 / 진로·취업·자립 / 청소년·청년 교육,2024 저소득 우수 중고등학생 장학금 지원 'JB희망의 장학금',"청년·경력전환자 직무교육·취업지원, 멘토링, 성과관리 / 청소년 학습·진로 프로그램 기획, 학교·지역기관 연계, 참여자 운영 / 교육취약계층 맞춤형 학습지원, 모집·운영 통합관리, 지역 확산",개별 귀속 여부는 원문 기준,http://www.jbbank.co.kr/,https://www.jbfg.com/ko/esg/report.do,https://csrhub.chest.or.kr/contributors/private/475,2차 선별 외—심층 연락처 우선조사 미실시 | 기본: http://www.jbbank.co.kr/ | 접근: 공식 대표·문의 페이지에서 ESG·사회공헌·대외협력 담당 연결 요청
SK이노베이션,153,52,A,"석유 정제품 제조업 기업, 유가증권시장, 서울특별시 종로구 소재, 2025년 매출 약 80.3조원, 직원 2,064명.",석유 정제품 제조업,유가증권시장,서울특별시 종로구 종로 26,"2,064","802,960.50",0,5,"2,003.00","2,000.00",0,"1,002.00",801.6,2,교육자립지원(4) / 사회적돌봄강화(4) / 기초생계지원(2),치매노인 및 발달장애인 실종예방을 위한 배회감지기 보급지원 사업 '행복GPS' / 소아암 환자 치료비 지원 '경제적 어려움이 있는 소아암 환자 치료비 지원 사업' / 결식우려아동 결식문제 해결을 위한 급식지원사업,17,7,41.20%,교육격차·취약계층 / 디지털·AI 교육 / 진로·취업·자립 / 청소년·청년 교육 / 환경·안전·문화 교육,장애청소년 행복 AI 코딩 챌린지 대회 배분신청서 / 지리적 특성으로 문화생활에 대한 접근성이 낮은 농어촌 지역 아동들의 문화접근성 향상을 위한 작은도서관조성사업 / 가족돌봄아동 미래역량강화를 위한 통합지원 : 행복배달 Knock Knock Care,"AI·디지털 교육과정 설계, 강사 운영, 프로젝트형 학습·성과관리 / 청년·경력전환자 직무교육·취업지원, 멘토링, 성과관리 / 청소년 학습·진로 프로그램 기획, 학교·지역기관 연계, 참여자 운영",개별 귀속 여부는 원문 기준,http://www.skinnovation.com/,https://www.skinnovation.com/esg/Sustainability_Report,https://csrhub.chest.or.kr/contributors/private/153,우선: 행복나눔재단 02-333-3963 / https://skhappiness.org/contact/ | 접근: 교육·사회혁신 제안은 재단 문의 후 실제 사업 귀속 계열사 담당 연결 요청 | 기업 홈페이지: http://www.skinnovation.com/
부산은행,469,53,D,"국내은행 기업, 기타법인, 부산광역시 남구 소재, 직원 2,995명.",국내은행,기타법인,"부산광역시 남구 문현금융로 30 (문현동, 부산은행본점)","2,995",,723.1,"1,025.10","1,690.90",563,504.9,"1,000.50",901.4,4,공개 주요사업 없음,,0,0,,,,현재 공개 주요사업에서는 직접적인 교육 접점이 확인되지 않음. 신규 교육형 사회공헌사업 제안 가능,개별 귀속 여부는 원문 기준,http://www.busanbank.co.kr/,https://www.bnkfg.com/09/04.jsp,https://csrhub.chest.or.kr/contributors/private/469,2차 선별 외—심층 연락처 우선조사 미실시 | 기본: http://www.busanbank.co.kr/ | 접근: 공식 대표·문의 페이지에서 ESG·사회공헌·대외협력 담당 연결 요청
롯데쇼핑,32,54,A,"백화점 기업, 유가증권시장, 서울특별시 중구 소재, 2025년 매출 약 13.7조원, 직원 17,712명.",백화점,유가증권시장,서울특별시 중구 남대문로 81 (소공동),"17,712","137,383.50",169.3,"1,029.40","1,368.10","1,354.20","1,462.60",980.2,"1,076.70",4,주거안전지원(2) / 교육자립지원(1) / 문화정보격차해소(1),아동 놀이 환경 개선을 위한 놀이공간 조성 사업: mom편한 놀이터 / 저소득층 아동의 전인적 성장을 위한 지역아동센터 환경개선 및 역량강화 사업 : 'mom편한꿈다락' / 문화소외계층 군인들의 문화 공간 지원을 위한 병영도서관 '청춘책방',5,3,60.00%,교육격차·취약계층 / 진로·취업·자립 / 청소년·청년 교육 / 환경·안전·문화 교육,"저소득층 아동의 전인적 성장을 위한 지역아동센터 환경개선 및 역량강화 사업 : 'mom편한꿈다락' / 문화소외계층 군인들의 문화 공간 지원을 위한 병영도서관 '청춘책방' / 사회문제 해결을 위한 ESG 기반 대학생 봉사활동 지원사업 ""밸유 for ESG""","청년·경력전환자 직무교육·취업지원, 멘토링, 성과관리 / 청소년 학습·진로 프로그램 기획, 학교·지역기관 연계, 참여자 운영 / 교육취약계층 맞춤형 학습지원, 모집·운영 통합관리, 지역 확산",동일한 공개 사업 목록이 17개 기업에 공통 표시됨(그룹 사업 가능성),http://www.lotteshoppingir.com/,https://www.lotteshoppingir.com/esg/esg_06.jsp,https://csrhub.chest.or.kr/contributors/private/32,"우선: 롯데재단 이메일 scholarship@lotte.net / https://www.lottefoundation.or.kr/ | 접근: 청소년·교육·장학형은 재단 메일, 유통·지역사업은 해당 계열사 사회공헌 담당 연결 요청 | 기업 홈페이지: http://www.lotteshoppingir.com/"
한국앤컴퍼니,441,55,C,"지주회사 기업, 유가증권시장, 경기도 성남시 소재, 2025년 매출 약 1.5조원, 직원 1,226명.",지주회사,유가증권시장,경기도 성남시 분당구 판교로 286 -,"1,226","14,575.50","1,530.00",840.9,30,"1,360.00",0,940.2,752.2,3,심리정서지원(1) / 주거안전지원(1),2024년 임직원 참여형 프로그램 벽화 그리기 지원사업 / 2024년 임직원 참여형 나눔 프로젝트 - 농구 두(Do)드림(Dream),2,0,0.00%,,,현재 공개 주요사업에서는 직접적인 교육 접점이 확인되지 않음. 신규 교육형 사회공헌사업 제안 가능,개별 귀속 여부는 원문 기준,http://www.hankook-technologygroup.com/,https://www.hankookandcompany.com/ko/sustainability/principles.do,https://csrhub.chest.or.kr/contributors/private/441,2차 선별 외—심층 연락처 우선조사 미실시 | 기본: http://www.hankook-technologygroup.com/ | 접근: 공식 대표·문의 페이지에서 ESG·사회공헌·대외협력 담당 연결 요청
씨제이올리브영,181,56,B,"화장품, 비누 및 방향제 소매업 기업, 기타법인, 서울특별시 용산구 소재, 2025년 매출 약 5.8조원, 직원 0명.","화장품, 비누 및 방향제 소매업",기타법인,"서울특별시 용산구 한강대로 372 동자동, 케이디비타워 24층",0,"58,334.90",600,720,"1,000.00","1,380.00",0,925,740,4,교육자립지원(1) / 주거안전지원(1),"가정 밖 청소년의 주거권 보장을 위한 청소년 쉼터 환경 개선 사업 - All live young: All Light, All Right! / 취약계층 청소년 대상 장학금 지원 사업",2,1,50.00%,교육격차·취약계층 / 진로·취업·자립 / 청소년·청년 교육,취약계층 청소년 대상 장학금 지원 사업,"청년·경력전환자 직무교육·취업지원, 멘토링, 성과관리 / 청소년 학습·진로 프로그램 기획, 학교·지역기관 연계, 참여자 운영 / 교육취약계층 맞춤형 학습지원, 모집·운영 통합관리, 지역 확산",개별 귀속 여부는 원문 기준,,https://corp.oliveyoung.com/ko/sustainability/impact-report,https://csrhub.chest.or.kr/contributors/private/181,우선: CJ나눔재단·CJ도너스캠프 기관문의 1899-0233 / https://www.donorscamp.org/mapInfo.do | 접근: 아동·청소년 교육·멘토링 제안은 재단 기관문의로 접수
